downloaded,item_id,item_definition,category,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,word,freq,freqrank
2022-09-22,107,donut,food_drink,0.02,0.05,0.08,0.12,0.13,0.17,0.23,0.27,0.32,0.42,0.49,0.51,0.67,0.57,0.63,donut,836168,0.9124446497785991
2022-09-22,108,drink (beverage),food_drink,0.11,0.18,0.27,0.37,0.4,0.46,0.52,0.61,0.62,0.7,0.72,0.74,0.88,0.77,0.78,drink,29254937,0.9918309673238693
2022-09-22,109,egg,food_drink,0.1,0.18,0.2,0.34,0.36,0.45,0.52,0.6,0.65,0.69,0.75,0.76,0.88,0.82,0.82,egg,12766528,0.9845409381637527
2022-09-22,110,fish (food),food_drink,0.09,0.14,0.2,0.32,0.34,0.37,0.4,0.48,0.53,0.62,0.6,0.59,0.82,0.72,0.77,fish,52756224,0.9953139812559251
2022-09-22,111,food,food_drink,0.07,0.12,0.19,0.25,0.3,0.34,0.41,0.5,0.54,0.62,0.64,0.67,0.82,0.77,0.8,food,180144029,0.99874899499598
2022-09-22,113,grapes,food_drink,0.09,0.14,0.21,0.31,0.34,0.41,0.44,0.59,0.62,0.72,0.72,0.74,0.88,0.78,0.82,grapes,2643584,0.9553718214872859
2022-09-22,115,gum,food_drink,0.02,0.03,0.06,0.1,0.11,0.1,0.18,0.19,0.22,0.31,0.35,0.38,0.55,0.43,0.45,gum,4503031,0.9676988707954832
2022-09-22,116,hamburger,food_drink,0.02,0.05,0.07,0.12,0.17,0.19,0.28,0.31,0.4,0.5,0.54,0.59,0.75,0.65,0.73,hamburger,1453555,0.9365557462229849
2022-09-22,117,ice,food_drink,0.07,0.12,0.16,0.28,0.31,0.37,0.39,0.48,0.54,0.63,0.67,0.65,0.83,0.72,0.75,ice,41706145,0.994122976491906
2022-09-22,118,ice cream,food_drink,0.08,0.1,0.19,0.28,0.32,0.38,0.45,0.57,0.65,0.73,0.77,0.81,0.9,0.86,0.88,icecream,235105,0.8165192660770643
2022-09-22,119,jello,food_drink,0.01,0.03,0.06,0.09,0.09,0.11,0.12,0.14,0.18,0.29,0.28,0.31,0.54,0.33,0.38,jello,685368,0.9015156060624242
2022-09-22,120,jelly,food_drink,0.01,0.02,0.05,0.1,0.11,0.12,0.18,0.23,0.27,0.38,0.41,0.41,0.67,0.48,0.53,jelly,3698541,0.9635738542954172
2022-09-22,121,juice,food_drink,0.27,0.27,0.38,0.57,0.6,0.63,0.68,0.67,0.77,0.83,0.82,0.84,0.94,0.86,0.89,juice,10973425,0.982749930999724
2022-09-22,122,lollipop,food_drink,0,0.04,0.06,0.1,0.13,0.14,0.17,0.23,0.27,0.37,0.38,0.46,0.59,0.49,0.6,lollipop,461761,0.8760365041460166
2022-09-22,123,meat,food_drink,0.03,0.06,0.09,0.14,0.15,0.22,0.22,0.29,0.38,0.41,0.44,0.49,0.65,0.56,0.59,meat,17652296,0.9878799515198061
2022-09-22,124,melon,food_drink,0.02,0.06,0.06,0.09,0.11,0.17,0.18,0.26,0.3,0.32,0.36,0.4,0.54,0.41,0.52,melon,1355214,0.9339757359029436
2022-09-22,125,milk,food_drink,0.36,0.38,0.49,0.64,0.66,0.71,0.71,0.76,0.82,0.88,0.86,0.9,0.95,0.92,0.91,milk,20955909,0.9893019572078289
2022-09-22,126,muffin,food_drink,0.02,0.05,0.07,0.12,0.14,0.21,0.27,0.38,0.39,0.45,0.42,0.51,0.67,0.61,0.66,muffin,1096202,0.9252277009108036
2022-09-22,127,noodles,food_drink,0.06,0.11,0.16,0.23,0.26,0.35,0.36,0.45,0.52,0.55,0.58,0.6,0.77,0.68,0.69,noodles,1635016,0.9406477625910503
2022-09-22,128,nuts,food_drink,0,0.04,0.04,0.1,0.09,0.14,0.16,0.24,0.32,0.32,0.38,0.4,0.58,0.54,0.57,nuts,9053763,0.9800049200196801
2022-09-22,129,orange (food),food_drink,0.06,0.11,0.15,0.3,0.28,0.36,0.4,0.55,0.62,0.65,0.64,0.73,0.87,0.82,0.84,orange,37316112,0.9935109740438962
