source,statement,description,link
Xavier Becerra," ""Every time we go to court,"" against the Trump administration, ""for the most part, we win."" ","stated on August 26, 2019 in a news conference:",https://www.politifact.com/factchecks/2019/sep/25/xavier-becerra/california-really-winning-court-against-trump-admi/
Gina Hinojosa,"""You can have an active warrant for your arrest for murder and legally pass a background check system in the state of Texas"" to purchase a gun.","stated on September 4, 2019 in a press conference:",https://www.politifact.com/factchecks/2019/sep/20/gina-hinojosa/can-you-have-outstanding-arrest-warrant-murder-and/
Nicole Galloway,"Says her office ""uncover(ed) $350 million in waste and fraud; it led to 40 criminal charges against both Republicans and Democrats.""","stated on August 12, 2019 in her campaign announcement:",https://www.politifact.com/factchecks/2019/sep/20/nicole-galloway/galloways-watchdog-bragging-claim-mostly-point/
Mark Perry,"""Wisconsin is currently seeing an influx of new residents, Illinois is seeing an outflux.""","stated on June 28, 2019 in a radio interview:",https://www.politifact.com/factchecks/2019/sep/19/mark-perry/illinois-population-loss-wisconsins-gain/
Stanley Greenberg,"""What was the reality for most Americans during the Obama presidency? Most lost wealth and their incomes fell, particularly for those at the bottom of the ladder.""","stated on September 9, 2019 in his book, ""RIP GOP"":",https://www.politifact.com/factchecks/2019/sep/10/stanley-greenberg/did-most-americans-lose-wealth-income-under-barack/
Donald Trump,"""From 2010 to 2017, natural gas production plummeted by nearly 70 percent in New York, but it soared almost 1,000 percent in Pennsylvania.""","stated on August 13, 2019 in a speech:",https://www.politifact.com/factchecks/2019/sep/04/donald-trump/trump-correct-about-natural-gas-trends-new-york-an/
Sean Casten,"""Most climate scientists agree that we only have less than a decade to turn things around or else we’ll be stuck with a 'worst case scenario' including rising sea levels, devastating droughts, and worsening famines.""","stated on August 18, 2019 in a campaign email:",https://www.politifact.com/factchecks/2019/sep/01/sean-casten/does-science-say-time-running-out-stop-climate-dis/
Elizabeth Warren,"""We lag behind many other developed nations in connectivity and speed, while also paying more for that service.""","stated on August 27, 2019 in an op-ed in the Washington Post:",https://www.politifact.com/factchecks/2019/aug/29/elizabeth-warren/warren-says-us-broadband-lags-compared-other-natio/
Bernie Sanders," ""Last year, South Carolina spent $21,756 per prison inmate and $11,552 per student.""","stated on August 26, 2019 in an Instagram post:",https://www.politifact.com/factchecks/2019/aug/27/bernie-sanders/bernie-sanders-right-south-carolina-spends-more-pr/
Ivanka Trump,"""Since the passage of Tax Cuts, real disposable personal income per household has increased $5,205.""","stated on August 20, 2019 in a tweet:",https://www.politifact.com/factchecks/2019/aug/22/ivanka-trump/ivanka-trump-mostly-accurate-disposable-income-has/
Jason Miyares,"""On average, 65% of gun deaths in America are from suicides."" ","stated on August 13, 2019 in a radio interview.:",https://www.politifact.com/factchecks/2019/aug/21/jason-miyares/62-us-gun-deaths-are-suicides/
Philip Van Cleave,"""Criminals don’t go through (gun) background checks. I think it’s like 3% go through a background check."" ","stated on August 8, 2019 in a radio interview.:",https://www.politifact.com/factchecks/2019/aug/13/philip-van-cleave/van-cleave-ballpark-criminals-who-had-gun-backgrou/
Sheila Bynum-Coleman,"""African Americans are three to four times more likely to be arrested for drug crimes, and nine times more likely to be imprisoned."" ","stated on July 26, 2019 in a website post.:",https://www.politifact.com/factchecks/2019/aug/06/sheila-bynum-coleman/bynum-coleman-mostly-right-about-racial-disparity-/
Donald Trump,"""Last year, we prosecuted a record number of firearms offenses.""","stated on August 5, 2019 in a speech:",https://www.politifact.com/factchecks/2019/aug/05/donald-trump/after-mass-shootings-fact-checking-trumps-statisti/
